[2025-06-17 09:15:03 INF] Starting host...
[2025-06-17 09:15:07 INF] Database structure ensured via EnsureCreated().
[2025-06-17 09:15:08 INF] Default users ensured: System, Backend, Frontend.
[2025-06-17 09:15:08 INF] Host is running
[2025-06-17 09:15:08 INF] ProcessMonitorService: Starte Hintergrundüberwachung.
[2025-06-17 09:15:08 WRN] 2 offene Session(s) gefunden. Beende sie jetzt.
[2025-06-17 09:15:08 INF] Session #2 für 'Microsoft Visual Studio 2022' wurde nachträglich beendet. Start="2025-06-16T09:01:24.2896192", End="2025-06-16T09:01:30.7597411", Dauer="00:00:06.4701219"
[2025-06-17 09:15:08 INF] Session #2 für 'Firefox' wurde nachträglich beendet. Start="2025-06-16T09:01:24.5764685", End="2025-06-16T09:01:30.7626299", Dauer="00:00:06.1861614"
[2025-06-17 09:15:09 INF] Aufräumen alter Sessions abgeschlossen.
[2025-06-17 09:15:09 INF] Neue Session #2 gestartet für 'Avira Phantom VPN' (PID 3748) um "2025-06-17T09:15:09.3899944+02:00"
[2025-06-17 09:15:09 INF] Neue Session #3 gestartet für 'Microsoft Visual Studio 2022' (PID 7984) um "2025-06-17T09:15:09.5161823+02:00"
[2025-06-17 09:15:09 INF] Now listening on: http://localhost:5000
[2025-06-17 09:15:09 INF] Application started. Press Ctrl+C to shut down.
[2025-06-17 09:15:09 INF] Hosting environment: Production
[2025-06-17 09:15:09 INF] Content root path: C:\Users\Josef Peer\OneDrive - HTL-Rankweil\SJ 2024-25\POS3\Projekte\LogIt\LogIt\src\frontend\LogIt.UI\bin\Debug\net8.0-windows\Backend
[2025-06-17 09:15:10 INF] HTTP GET /api/LogEntries/all responded 200 in 286.6047 ms
[2025-06-17 09:15:10 INF] HTTP GET /api/LogEntries/all responded 200 in 286.6680 ms
[2025-06-17 09:15:10 INF] HTTP GET /api/LogEntries/all responded 200 in 5.8838 ms
[2025-06-17 09:15:11 INF] HTTP GET /api/LogEntries/all responded 200 in 6.6624 ms
[2025-06-17 09:15:12 INF] HTTP GET /api/LogEntries/all responded 200 in 5.6456 ms
[2025-06-17 09:15:13 INF] HTTP GET /api/LogEntries/all responded 200 in 5.4529 ms
[2025-06-17 09:15:14 INF] HTTP GET /api/LogEntries/all responded 200 in 5.0756 ms
[2025-06-17 09:15:15 INF] HTTP GET /api/LogEntries/all responded 200 in 3.6208 ms
[2025-06-17 09:15:16 INF] HTTP GET /api/LogEntries/all responded 200 in 2.6471 ms
[2025-06-17 09:15:17 INF] HTTP GET /api/LogEntries/all responded 200 in 3.1463 ms
[2025-06-17 09:15:18 INF] HTTP GET /api/LogEntries/all responded 200 in 1.8890 ms
[2025-06-17 09:15:19 INF] HTTP GET /api/LogEntries/all responded 200 in 2.8567 ms
[2025-06-17 09:15:20 INF] HTTP GET /api/LogEntries/all responded 200 in 2.9223 ms
[2025-06-17 09:15:21 INF] HTTP GET /api/LogEntries/all responded 200 in 2.2865 ms
[2025-06-17 09:15:22 INF] HTTP GET /api/LogEntries/all responded 200 in 3.8731 ms
[2025-06-17 09:15:23 INF] HTTP GET /api/LogEntries/all responded 200 in 1.8717 ms
